AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,Discount,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
220,"Half-Life 2","Nov 16, 2004","10000000 - 20000000",16101,0,7.19,0,2,"1998. HALF-LIFE sends a shock through the game industry","['English', 'French', 'German', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Russian']","['English', 'French', 'German', 'Russian', 'Spanish - Spain']","Overwhelmingly Positive","https://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg","http://www.half-life2.com/","http://steamcommunity.com/app/220","",True,True,True,96,"https://www.metacritic.com/game/pc/half-life-2",0,95242,2906,"",0,0,"",1200,13,572,0,"Valve","Valve","Single-player,Steam Achievements,Full controller support,Steam Cloud,Captions available,Commentary available","Action","FPS,Action,Sci-fi,Shooter,Classic","https://cdn.akamai.steamstatic.com/steam/apps/220/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2028/movie480.webm"
240,"Counter-Strike: Source","Nov 1, 2004","10000000 - 20000000",32689,0,7.19,0,0,"Counter-Strike: Source blends Counter-Strike's award-winning teamplay action","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Swedish', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']","[]","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg","http://www.counter-strike.net/","http://steamcommunity.com/app/240","",True,True,True,88,"https://www.metacritic.com/game/pc/counter-strike-source",0,62275,4667,"",0,0,"",4207,23,469,1,"Valve","Valve","Multi-player,Online Multi-Player,Local Multi-Player,Steam Leaderboards,Valve Anti-Cheat enabled,Stats","Action","FPS,Shooter,Multiplayer,Action,Team-Based","https://cdn.akamai.steamstatic.com/steam/apps/240/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2012/movie480.webm"
280,"Half-Life: Source","Jun 1, 2004","2000000 - 5000000",631,0,7.19,0,0,"Half-Life: Source features the original game","['English', 'French', 'German', 'Italian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'German']","Positive","https://cdn.akamai.steamstatic.com/steam/apps/280/header.jpg","http://www.half-life.com/","http://steamcommunity.com/app/280","",True,False,False,0,"",0,2111,626,"",0,0,"",280,0,141,0,"Valve","Valve","Single-player","Action","FPS,Action,Sci-fi,Shooter,Classic","https://cdn.akamai.steamstatic.com/steam/apps/280/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2015/movie480.webm"
300,"Day of Defeat: Source","Sep 26, 2005","2000000 - 5000000",2237,0,7.19,0,0,"Day of Defeat: Source features multiplayer online gaming","['English', 'French', 'German', 'Italian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['English', 'German']","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/300/header.jpg","http://www.dayofdefeat.com/","http://steamcommunity.com/app/300","",True,True,True,0,"",0,7534,913,"",0,0,"",998,0,104,0,"Valve","Valve","Multi-player,Valve Anti-Cheat enabled,Stats","Action","FPS,World War II,Multiplayer,Shooter,Action","https://cdn.akamai.steamstatic.com/steam/apps/300/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2017/movie480.webm"
320,"Half-Life 2: Deathmatch","Nov 30, 2004","2000000 - 5000000",1001,0,3.99,0,0,"Fast multiplayer action set in the Half-Life 2 universe!","['English', 'French', 'German', 'Italian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'German']","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/320/header.jpg","http://www.half-life2.com/deathmatch/","http://steamcommunity.com/app/320","",True,True,True,0,"",0,3078,468,"",0,0,"",506,0,54,0,"Valve","Valve","Multi-player,Valve Anti-Cheat enabled","Action","FPS,Multiplayer,Action,Shooter,Sci-fi","https://cdn.akamai.steamstatic.com/steam/apps/320/0.1920x1080.jpg",""
340,"Half-Life 2: Lost Coast","Oct 27, 2005","5000000 - 10000000",336,0,0.00,0,0,"Half-Life 2: Lost Coast is an additional level for Half-Life 2","['English', 'French', 'German', 'Italian', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'German']","Very Positive","https://cdn.akamai.steamstatic.com/steam/apps/340/header.jpg","http://www.half-life2.com/lostcoast/","http://steamcommunity.com/app/340","",True,False,False,0,"",0,6440,296,"",0,0,"",25,0,20,0,"Valve","Valve","Single-player,Captions available,Commentary available","Action","FPS,Action,Free to Play,Shooter,Sci-fi","https://cdn.akamai.steamstatic.com/steam/apps/340/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2022/movie480.webm"
360,"Half-Life Deathmatch: Source","May 1, 2006","1000000 - 2000000",144,0,3.99,0,0,"Half-Life Deathmatch: Source is a recreation of the first multiplayer game","['English']","[]","Positive","https://cdn.akamai.steamstatic.com/steam/apps/360/header.jpg","http://www.half-life2.com/deathmatch/","http://steamcommunity.com/app/360","",True,False,False,0,"",0,618,169,"",0,0,"",211,0,20,0,"Valve","Valve","Multi-player","Action","FPS,Multiplayer,Action,Shooter,Classic","https://cdn.akamai.steamstatic.com/steam/apps/360/0.1920x1080.jpg",""
380,"Half-Life 2: Episode One","Jun 1, 2006","5000000 - 10000000",1443,0,5.99,0,1,"Half-Life 2 has sold over 4 million copies worldwide","['English', 'French', 'German', 'Italian', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Traditional Chinese']","['English', 'French', 'German', 'Russian', 'Spanish - Spain']","Overwhelmingly Positive","https://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg","http://www.half-life2.com/episode1/","http://steamcommunity.com/app/380","",True,True,True,87,"https://www.metacritic.com/game/pc/half-life-2-episode-one",0,16038,530,"",0,0,"",428,0,298,0,"Valve","Valve","Single-player,Steam Achievements,Full controller support,Steam Cloud,Captions available,Commentary available","Action","FPS,Action,Sci-fi,Shooter,Adventure","https://cdn.akamai.steamstatic.com/steam/apps/380/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2023/movie480.webm"
400,"Portal","Oct 10, 2007","10000000 - 20000000",7274,0,7.19,0,0,"Portal is a new single player game from Valve","['English', 'French', 'German', 'Spanish - Spain', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'German', 'Russian', 'Spanish - Spain']","Overwhelmingly Positive","https://cdn.akamai.steamstatic.com/steam/apps/400/header.jpg","http://www.thinkwithportals.com/","http://steamcommunity.com/app/400","",True,True,True,90,"https://www.metacritic.com/game/pc/portal",0,86086,1308,"",0,0,"",296,0,199,0,"Valve","Valve","Single-player,Steam Achievements,Full controller support,Steam Cloud,Captions available,Commentary available,Steam Trading Cards","Puzzle","Puzzle,First-Person,Sci-fi,Singleplayer,Comedy","https://cdn.akamai.steamstatic.com/steam/apps/400/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2029/movie480.webm"
420,"Half-Life 2: Episode Two","Oct 10, 2007","5000000 - 10000000",1663,0,5.99,0,1,"Half-Life 2: Episode Two is the second in a trilogy","['English', 'French', 'German', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Traditional Chinese']","['English', 'French', 'German', 'Russian', 'Spanish - Spain']","Overwhelmingly Positive","https://cdn.akamai.steamstatic.com/steam/apps/420/header.jpg","http://www.half-life2.com/episode2/","http://steamcommunity.com/app/420","",True,True,True,90,"https://www.metacritic.com/game/pc/half-life-2-episode-two",0,22166,446,"",0,0,"",572,0,437,0,"Valve","Valve","Single-player,Steam Achievements,Full controller support,Steam Cloud,Captions available,Commentary available","Action","FPS,Action,Sci-fi,Shooter,Adventure","https://cdn.akamai.steamstatic.com/steam/apps/420/0.1920x1080.jpg","http://cdn.akamai.steamstatic.com/steam/apps/2024/movie480.webm"
